condition,run_id,npy_path,stage_original,stage_original_id
C1,52,data\windows\C1_052.npy,normal,1
C1,53,data\windows\C1_053.npy,normal,1
C1,54,data\windows\C1_054.npy,normal,1
C1,55,data\windows\C1_055.npy,normal,1
C1,56,data\windows\C1_056.npy,normal,1
C1,57,data\windows\C1_057.npy,normal,1
C1,58,data\windows\C1_058.npy,normal,1
C1,59,data\windows\C1_059.npy,normal,1
C1,60,data\windows\C1_060.npy,normal,1
C1,61,data\windows\C1_061.npy,normal,1
C1,62,data\windows\C1_062.npy,normal,1
C1,63,data\windows\C1_063.npy,normal,1
C1,64,data\windows\C1_064.npy,normal,1
C1,65,data\windows\C1_065.npy,normal,1
C1,66,data\windows\C1_066.npy,normal,1
C1,67,data\windows\C1_067.npy,normal,1
C1,68,data\windows\C1_068.npy,normal,1
C1,69,data\windows\C1_069.npy,normal,1
C1,70,data\windows\C1_070.npy,normal,1
C1,71,data\windows\C1_071.npy,normal,1
C1,72,data\windows\C1_072.npy,normal,1
C1,73,data\windows\C1_073.npy,normal,1
C1,74,data\windows\C1_074.npy,normal,1
C1,75,data\windows\C1_075.npy,normal,1
C1,76,data\windows\C1_076.npy,normal,1
C1,77,data\windows\C1_077.npy,normal,1
C1,78,data\windows\C1_078.npy,normal,1
C1,79,data\windows\C1_079.npy,normal,1
C1,80,data\windows\C1_080.npy,normal,1
C1,81,data\windows\C1_081.npy,normal,1
C1,82,data\windows\C1_082.npy,normal,1
C1,83,data\windows\C1_083.npy,normal,1
C1,84,data\windows\C1_084.npy,normal,1
C1,85,data\windows\C1_085.npy,normal,1
C1,86,data\windows\C1_086.npy,normal,1
C1,87,data\windows\C1_087.npy,normal,1
C1,88,data\windows\C1_088.npy,normal,1
C1,89,data\windows\C1_089.npy,normal,1
C1,90,data\windows\C1_090.npy,normal,1
C1,91,data\windows\C1_091.npy,normal,1
C1,92,data\windows\C1_092.npy,normal,1
C1,93,data\windows\C1_093.npy,normal,1
C1,94,data\windows\C1_094.npy,normal,1
C1,95,data\windows\C1_095.npy,normal,1
C1,96,data\windows\C1_096.npy,normal,1
C1,97,data\windows\C1_097.npy,normal,1
C1,98,data\windows\C1_098.npy,normal,1
C1,99,data\windows\C1_099.npy,normal,1
C1,100,data\windows\C1_100.npy,normal,1
C1,101,data\windows\C1_101.npy,normal,1
C1,102,data\windows\C1_102.npy,normal,1
C1,103,data\windows\C1_103.npy,normal,1
C1,104,data\windows\C1_104.npy,normal,1
C1,105,data\windows\C1_105.npy,normal,1
C1,106,data\windows\C1_106.npy,normal,1
C1,107,data\windows\C1_107.npy,normal,1
C1,108,data\windows\C1_108.npy,normal,1
C1,109,data\windows\C1_109.npy,normal,1
C1,110,data\windows\C1_110.npy,normal,1
C1,111,data\windows\C1_111.npy,normal,1
C1,112,data\windows\C1_112.npy,normal,1
C1,113,data\windows\C1_113.npy,normal,1
C1,114,data\windows\C1_114.npy,normal,1
C1,115,data\windows\C1_115.npy,normal,1
C1,116,data\windows\C1_116.npy,normal,1
C1,117,data\windows\C1_117.npy,normal,1
C1,118,data\windows\C1_118.npy,normal,1
C1,119,data\windows\C1_119.npy,normal,1
C1,120,data\windows\C1_120.npy,normal,1
C1,121,data\windows\C1_121.npy,normal,1
C1,122,data\windows\C1_122.npy,normal,1
C1,123,data\windows\C1_123.npy,normal,1
C1,124,data\windows\C1_124.npy,normal,1
C1,125,data\windows\C1_125.npy,normal,1
C1,126,data\windows\C1_126.npy,normal,1
C1,127,data\windows\C1_127.npy,normal,1
C1,128,data\windows\C1_128.npy,normal,1
C1,129,data\windows\C1_129.npy,normal,1
C1,130,data\windows\C1_130.npy,normal,1
C1,131,data\windows\C1_131.npy,normal,1
C1,132,data\windows\C1_132.npy,normal,1
C1,133,data\windows\C1_133.npy,normal,1
C1,134,data\windows\C1_134.npy,normal,1
C1,135,data\windows\C1_135.npy,normal,1
C1,136,data\windows\C1_136.npy,normal,1
C1,137,data\windows\C1_137.npy,normal,1
C1,138,data\windows\C1_138.npy,normal,1
C1,139,data\windows\C1_139.npy,normal,1
C1,140,data\windows\C1_140.npy,normal,1
C1,141,data\windows\C1_141.npy,normal,1
C1,142,data\windows\C1_142.npy,normal,1
C1,143,data\windows\C1_143.npy,normal,1
C1,144,data\windows\C1_144.npy,normal,1
C1,145,data\windows\C1_145.npy,normal,1
C1,146,data\windows\C1_146.npy,normal,1
C1,147,data\windows\C1_147.npy,normal,1
C1,148,data\windows\C1_148.npy,normal,1
C1,149,data\windows\C1_149.npy,normal,1
C1,150,data\windows\C1_150.npy,normal,1
C1,151,data\windows\C1_151.npy,normal,1
C1,152,data\windows\C1_152.npy,normal,1
C1,153,data\windows\C1_153.npy,normal,1
C1,154,data\windows\C1_154.npy,normal,1
C1,155,data\windows\C1_155.npy,normal,1
C1,156,data\windows\C1_156.npy,normal,1
C1,157,data\windows\C1_157.npy,normal,1
C1,158,data\windows\C1_158.npy,normal,1
C1,159,data\windows\C1_159.npy,normal,1
C1,160,data\windows\C1_160.npy,normal,1
C1,161,data\windows\C1_161.npy,normal,1
C1,162,data\windows\C1_162.npy,normal,1
C1,163,data\windows\C1_163.npy,normal,1
C1,164,data\windows\C1_164.npy,normal,1
C1,165,data\windows\C1_165.npy,normal,1
C1,166,data\windows\C1_166.npy,normal,1
C1,167,data\windows\C1_167.npy,normal,1
C1,168,data\windows\C1_168.npy,normal,1
C1,169,data\windows\C1_169.npy,normal,1
C1,170,data\windows\C1_170.npy,normal,1
C1,171,data\windows\C1_171.npy,normal,1
C1,172,data\windows\C1_172.npy,normal,1
C1,173,data\windows\C1_173.npy,normal,1
C1,174,data\windows\C1_174.npy,normal,1
C1,175,data\windows\C1_175.npy,normal,1
C1,176,data\windows\C1_176.npy,normal,1
C1,177,data\windows\C1_177.npy,normal,1
C1,178,data\windows\C1_178.npy,normal,1
C1,179,data\windows\C1_179.npy,normal,1
C1,180,data\windows\C1_180.npy,normal,1
C1,181,data\windows\C1_181.npy,normal,1
C1,182,data\windows\C1_182.npy,normal,1
C1,183,data\windows\C1_183.npy,normal,1
C1,184,data\windows\C1_184.npy,normal,1
C1,185,data\windows\C1_185.npy,normal,1
C1,186,data\windows\C1_186.npy,normal,1
C1,187,data\windows\C1_187.npy,normal,1
C1,188,data\windows\C1_188.npy,normal,1
C1,189,data\windows\C1_189.npy,normal,1
C1,190,data\windows\C1_190.npy,normal,1
C1,191,data\windows\C1_191.npy,normal,1
C1,192,data\windows\C1_192.npy,normal,1
C1,193,data\windows\C1_193.npy,normal,1
C1,194,data\windows\C1_194.npy,normal,1
C1,195,data\windows\C1_195.npy,normal,1
C1,196,data\windows\C1_196.npy,normal,1
C1,197,data\windows\C1_197.npy,normal,1
C1,198,data\windows\C1_198.npy,normal,1
C1,199,data\windows\C1_199.npy,normal,1
C1,200,data\windows\C1_200.npy,normal,1
C1,201,data\windows\C1_201.npy,normal,1
C1,202,data\windows\C1_202.npy,normal,1
C1,203,data\windows\C1_203.npy,normal,1
C1,204,data\windows\C1_204.npy,normal,1
C1,205,data\windows\C1_205.npy,normal,1
C1,206,data\windows\C1_206.npy,normal,1
C1,207,data\windows\C1_207.npy,normal,1
C1,208,data\windows\C1_208.npy,normal,1
C1,209,data\windows\C1_209.npy,normal,1
C1,210,data\windows\C1_210.npy,normal,1
C1,211,data\windows\C1_211.npy,severe,2
C1,212,data\windows\C1_212.npy,severe,2
C1,213,data\windows\C1_213.npy,severe,2
C1,214,data\windows\C1_214.npy,severe,2
C1,215,data\windows\C1_215.npy,severe,2
C1,216,data\windows\C1_216.npy,severe,2
C1,217,data\windows\C1_217.npy,severe,2
C1,218,data\windows\C1_218.npy,severe,2
C1,219,data\windows\C1_219.npy,severe,2
C1,220,data\windows\C1_220.npy,severe,2
C1,221,data\windows\C1_221.npy,severe,2
C1,222,data\windows\C1_222.npy,severe,2
C1,223,data\windows\C1_223.npy,severe,2
C1,224,data\windows\C1_224.npy,severe,2
C1,225,data\windows\C1_225.npy,severe,2
C1,226,data\windows\C1_226.npy,severe,2
C1,227,data\windows\C1_227.npy,severe,2
C1,228,data\windows\C1_228.npy,severe,2
C1,229,data\windows\C1_229.npy,severe,2
C1,230,data\windows\C1_230.npy,severe,2
C1,231,data\windows\C1_231.npy,severe,2
C1,232,data\windows\C1_232.npy,severe,2
C1,233,data\windows\C1_233.npy,severe,2
C1,234,data\windows\C1_234.npy,severe,2
C1,235,data\windows\C1_235.npy,severe,2
C1,236,data\windows\C1_236.npy,severe,2
C1,237,data\windows\C1_237.npy,severe,2
C1,238,data\windows\C1_238.npy,severe,2
C1,239,data\windows\C1_239.npy,severe,2
C1,240,data\windows\C1_240.npy,severe,2
C1,241,data\windows\C1_241.npy,severe,2
C1,242,data\windows\C1_242.npy,severe,2
C1,243,data\windows\C1_243.npy,severe,2
C1,244,data\windows\C1_244.npy,severe,2
C1,245,data\windows\C1_245.npy,severe,2
C1,246,data\windows\C1_246.npy,severe,2
C1,247,data\windows\C1_247.npy,severe,2
C1,248,data\windows\C1_248.npy,severe,2
C1,249,data\windows\C1_249.npy,severe,2
C1,250,data\windows\C1_250.npy,severe,2
C1,251,data\windows\C1_251.npy,severe,2
C1,252,data\windows\C1_252.npy,severe,2
C1,253,data\windows\C1_253.npy,severe,2
C1,254,data\windows\C1_254.npy,severe,2
C1,255,data\windows\C1_255.npy,severe,2
C1,256,data\windows\C1_256.npy,severe,2
C1,257,data\windows\C1_257.npy,severe,2
C1,258,data\windows\C1_258.npy,severe,2
C1,259,data\windows\C1_259.npy,severe,2
C1,260,data\windows\C1_260.npy,severe,2
C1,261,data\windows\C1_261.npy,severe,2
C1,262,data\windows\C1_262.npy,severe,2
C1,263,data\windows\C1_263.npy,severe,2
C1,264,data\windows\C1_264.npy,severe,2
C1,265,data\windows\C1_265.npy,severe,2
C1,266,data\windows\C1_266.npy,severe,2
C1,267,data\windows\C1_267.npy,severe,2
C1,268,data\windows\C1_268.npy,severe,2
C1,269,data\windows\C1_269.npy,severe,2
C1,270,data\windows\C1_270.npy,severe,2
C1,271,data\windows\C1_271.npy,severe,2
C1,272,data\windows\C1_272.npy,severe,2
C1,273,data\windows\C1_273.npy,severe,2
C1,274,data\windows\C1_274.npy,severe,2
C1,275,data\windows\C1_275.npy,severe,2
C1,276,data\windows\C1_276.npy,severe,2
C1,277,data\windows\C1_277.npy,severe,2
C1,278,data\windows\C1_278.npy,severe,2
C1,279,data\windows\C1_279.npy,severe,2
C1,280,data\windows\C1_280.npy,severe,2
C1,281,data\windows\C1_281.npy,severe,2
C1,282,data\windows\C1_282.npy,severe,2
C1,283,data\windows\C1_283.npy,severe,2
C1,284,data\windows\C1_284.npy,severe,2
C1,285,data\windows\C1_285.npy,severe,2
C1,286,data\windows\C1_286.npy,severe,2
C1,287,data\windows\C1_287.npy,severe,2
C1,288,data\windows\C1_288.npy,severe,2
C1,289,data\windows\C1_289.npy,severe,2
C1,290,data\windows\C1_290.npy,severe,2
C1,291,data\windows\C1_291.npy,severe,2
C1,292,data\windows\C1_292.npy,severe,2
C1,293,data\windows\C1_293.npy,severe,2
C1,294,data\windows\C1_294.npy,severe,2
C1,295,data\windows\C1_295.npy,severe,2
C1,296,data\windows\C1_296.npy,severe,2
C1,297,data\windows\C1_297.npy,severe,2
C1,298,data\windows\C1_298.npy,severe,2
C1,299,data\windows\C1_299.npy,severe,2
C1,300,data\windows\C1_300.npy,severe,2
C1,301,data\windows\C1_301.npy,severe,2
C1,302,data\windows\C1_302.npy,severe,2
C1,303,data\windows\C1_303.npy,severe,2
C1,304,data\windows\C1_304.npy,severe,2
C1,305,data\windows\C1_305.npy,severe,2
C1,306,data\windows\C1_306.npy,severe,2
C1,307,data\windows\C1_307.npy,severe,2
C1,308,data\windows\C1_308.npy,severe,2
C1,309,data\windows\C1_309.npy,severe,2
C1,310,data\windows\C1_310.npy,severe,2
C1,311,data\windows\C1_311.npy,severe,2
C1,312,data\windows\C1_312.npy,severe,2
C1,313,data\windows\C1_313.npy,severe,2
C1,314,data\windows\C1_314.npy,severe,2
C1,315,data\windows\C1_315.npy,severe,2
C4,1,data\windows\C4_001.npy,initial,0
C4,2,data\windows\C4_002.npy,initial,0
C4,3,data\windows\C4_003.npy,initial,0
C4,4,data\windows\C4_004.npy,initial,0
C4,5,data\windows\C4_005.npy,initial,0
C4,6,data\windows\C4_006.npy,initial,0
C4,7,data\windows\C4_007.npy,initial,0
C4,8,data\windows\C4_008.npy,initial,0
C4,9,data\windows\C4_009.npy,initial,0
C4,10,data\windows\C4_010.npy,initial,0
C4,11,data\windows\C4_011.npy,initial,0
C4,12,data\windows\C4_012.npy,initial,0
C4,13,data\windows\C4_013.npy,initial,0
C4,14,data\windows\C4_014.npy,initial,0
C4,15,data\windows\C4_015.npy,initial,0
C4,16,data\windows\C4_016.npy,initial,0
C4,17,data\windows\C4_017.npy,initial,0
C4,18,data\windows\C4_018.npy,initial,0
C4,19,data\windows\C4_019.npy,initial,0
C4,20,data\windows\C4_020.npy,initial,0
C4,21,data\windows\C4_021.npy,initial,0
C4,22,data\windows\C4_022.npy,initial,0
C4,23,data\windows\C4_023.npy,initial,0
C4,24,data\windows\C4_024.npy,initial,0
C4,25,data\windows\C4_025.npy,initial,0
C4,26,data\windows\C4_026.npy,initial,0
C4,27,data\windows\C4_027.npy,initial,0
C4,28,data\windows\C4_028.npy,initial,0
C4,29,data\windows\C4_029.npy,initial,0
C4,30,data\windows\C4_030.npy,initial,0
C4,31,data\windows\C4_031.npy,initial,0
C4,32,data\windows\C4_032.npy,initial,0
C4,33,data\windows\C4_033.npy,initial,0
C4,34,data\windows\C4_034.npy,initial,0
C4,35,data\windows\C4_035.npy,initial,0
C4,36,data\windows\C4_036.npy,initial,0
C4,37,data\windows\C4_037.npy,initial,0
C4,38,data\windows\C4_038.npy,initial,0
C4,39,data\windows\C4_039.npy,initial,0
C4,40,data\windows\C4_040.npy,initial,0
C4,41,data\windows\C4_041.npy,initial,0
C4,42,data\windows\C4_042.npy,initial,0
C4,43,data\windows\C4_043.npy,initial,0
C4,44,data\windows\C4_044.npy,initial,0
C4,45,data\windows\C4_045.npy,initial,0
C4,46,data\windows\C4_046.npy,initial,0
C4,47,data\windows\C4_047.npy,initial,0
C4,48,data\windows\C4_048.npy,initial,0
C4,49,data\windows\C4_049.npy,initial,0
C4,50,data\windows\C4_050.npy,initial,0
C4,51,data\windows\C4_051.npy,normal,1
C4,52,data\windows\C4_052.npy,normal,1
C4,53,data\windows\C4_053.npy,normal,1
C4,54,data\windows\C4_054.npy,normal,1
C4,55,data\windows\C4_055.npy,normal,1
C4,56,data\windows\C4_056.npy,normal,1
C4,57,data\windows\C4_057.npy,normal,1
C4,58,data\windows\C4_058.npy,normal,1
C4,59,data\windows\C4_059.npy,normal,1
C4,60,data\windows\C4_060.npy,normal,1
C4,61,data\windows\C4_061.npy,normal,1
C4,62,data\windows\C4_062.npy,normal,1
C4,63,data\windows\C4_063.npy,normal,1
C4,64,data\windows\C4_064.npy,normal,1
C4,65,data\windows\C4_065.npy,normal,1
C4,66,data\windows\C4_066.npy,normal,1
C4,67,data\windows\C4_067.npy,normal,1
C4,68,data\windows\C4_068.npy,normal,1
C4,69,data\windows\C4_069.npy,normal,1
C4,70,data\windows\C4_070.npy,normal,1
C4,71,data\windows\C4_071.npy,normal,1
C4,72,data\windows\C4_072.npy,normal,1
C4,73,data\windows\C4_073.npy,normal,1
C4,74,data\windows\C4_074.npy,normal,1
C4,75,data\windows\C4_075.npy,normal,1
C4,76,data\windows\C4_076.npy,normal,1
C4,77,data\windows\C4_077.npy,normal,1
C4,78,data\windows\C4_078.npy,normal,1
C4,79,data\windows\C4_079.npy,normal,1
C4,80,data\windows\C4_080.npy,normal,1
C4,81,data\windows\C4_081.npy,normal,1
C4,82,data\windows\C4_082.npy,normal,1
C4,83,data\windows\C4_083.npy,normal,1
C4,84,data\windows\C4_084.npy,normal,1
C4,85,data\windows\C4_085.npy,normal,1
C4,86,data\windows\C4_086.npy,normal,1
C4,87,data\windows\C4_087.npy,normal,1
C4,88,data\windows\C4_088.npy,normal,1
C4,89,data\windows\C4_089.npy,normal,1
C4,90,data\windows\C4_090.npy,normal,1
C4,91,data\windows\C4_091.npy,normal,1
C4,92,data\windows\C4_092.npy,normal,1
C4,93,data\windows\C4_093.npy,normal,1
C4,94,data\windows\C4_094.npy,normal,1
C4,95,data\windows\C4_095.npy,normal,1
C4,96,data\windows\C4_096.npy,normal,1
C4,97,data\windows\C4_097.npy,normal,1
C4,98,data\windows\C4_098.npy,normal,1
C4,99,data\windows\C4_099.npy,normal,1
C4,100,data\windows\C4_100.npy,normal,1
C4,101,data\windows\C4_101.npy,normal,1
C4,102,data\windows\C4_102.npy,normal,1
C4,103,data\windows\C4_103.npy,normal,1
C4,104,data\windows\C4_104.npy,normal,1
C4,105,data\windows\C4_105.npy,normal,1
C4,106,data\windows\C4_106.npy,normal,1
C4,107,data\windows\C4_107.npy,normal,1
C4,108,data\windows\C4_108.npy,normal,1
C4,109,data\windows\C4_109.npy,normal,1
C4,110,data\windows\C4_110.npy,normal,1
C4,111,data\windows\C4_111.npy,normal,1
C4,112,data\windows\C4_112.npy,normal,1
C4,113,data\windows\C4_113.npy,normal,1
C4,114,data\windows\C4_114.npy,normal,1
C4,115,data\windows\C4_115.npy,normal,1
C4,116,data\windows\C4_116.npy,normal,1
C4,117,data\windows\C4_117.npy,normal,1
C4,118,data\windows\C4_118.npy,normal,1
C4,119,data\windows\C4_119.npy,normal,1
C4,120,data\windows\C4_120.npy,normal,1
C4,121,data\windows\C4_121.npy,normal,1
C4,122,data\windows\C4_122.npy,normal,1
C4,123,data\windows\C4_123.npy,normal,1
C4,124,data\windows\C4_124.npy,normal,1
C4,125,data\windows\C4_125.npy,normal,1
C4,126,data\windows\C4_126.npy,normal,1
C4,127,data\windows\C4_127.npy,normal,1
C4,128,data\windows\C4_128.npy,normal,1
C4,129,data\windows\C4_129.npy,normal,1
C4,130,data\windows\C4_130.npy,normal,1
C4,131,data\windows\C4_131.npy,normal,1
C4,132,data\windows\C4_132.npy,normal,1
C4,133,data\windows\C4_133.npy,normal,1
C4,134,data\windows\C4_134.npy,normal,1
C4,135,data\windows\C4_135.npy,normal,1
C4,136,data\windows\C4_136.npy,normal,1
C4,137,data\windows\C4_137.npy,normal,1
C4,138,data\windows\C4_138.npy,normal,1
C4,139,data\windows\C4_139.npy,normal,1
C4,140,data\windows\C4_140.npy,normal,1
C4,141,data\windows\C4_141.npy,normal,1
C4,142,data\windows\C4_142.npy,normal,1
C4,143,data\windows\C4_143.npy,normal,1
C4,144,data\windows\C4_144.npy,normal,1
C4,145,data\windows\C4_145.npy,normal,1
C4,146,data\windows\C4_146.npy,normal,1
C4,147,data\windows\C4_147.npy,normal,1
C4,148,data\windows\C4_148.npy,normal,1
C4,149,data\windows\C4_149.npy,normal,1
C4,150,data\windows\C4_150.npy,normal,1
C4,151,data\windows\C4_151.npy,normal,1
C4,152,data\windows\C4_152.npy,normal,1
C4,153,data\windows\C4_153.npy,normal,1
C4,154,data\windows\C4_154.npy,normal,1
C4,155,data\windows\C4_155.npy,normal,1
C4,156,data\windows\C4_156.npy,normal,1
C4,157,data\windows\C4_157.npy,normal,1
C4,158,data\windows\C4_158.npy,normal,1
C4,159,data\windows\C4_159.npy,normal,1
C4,160,data\windows\C4_160.npy,normal,1
C4,161,data\windows\C4_161.npy,normal,1
C4,162,data\windows\C4_162.npy,normal,1
C4,163,data\windows\C4_163.npy,normal,1
C4,164,data\windows\C4_164.npy,normal,1
C4,165,data\windows\C4_165.npy,normal,1
C4,166,data\windows\C4_166.npy,normal,1
C4,167,data\windows\C4_167.npy,normal,1
C4,168,data\windows\C4_168.npy,normal,1
C4,169,data\windows\C4_169.npy,normal,1
C4,170,data\windows\C4_170.npy,normal,1
C4,171,data\windows\C4_171.npy,normal,1
C4,172,data\windows\C4_172.npy,normal,1
C4,173,data\windows\C4_173.npy,normal,1
C4,174,data\windows\C4_174.npy,normal,1
C4,175,data\windows\C4_175.npy,normal,1
C4,176,data\windows\C4_176.npy,normal,1
C4,177,data\windows\C4_177.npy,normal,1
C4,178,data\windows\C4_178.npy,normal,1
C4,179,data\windows\C4_179.npy,normal,1
C4,180,data\windows\C4_180.npy,normal,1
C4,181,data\windows\C4_181.npy,normal,1
C4,182,data\windows\C4_182.npy,normal,1
C4,183,data\windows\C4_183.npy,normal,1
C4,184,data\windows\C4_184.npy,normal,1
C4,185,data\windows\C4_185.npy,normal,1
C4,186,data\windows\C4_186.npy,normal,1
C4,187,data\windows\C4_187.npy,normal,1
C4,188,data\windows\C4_188.npy,normal,1
C4,189,data\windows\C4_189.npy,normal,1
C4,190,data\windows\C4_190.npy,normal,1
C4,191,data\windows\C4_191.npy,normal,1
C4,192,data\windows\C4_192.npy,normal,1
C4,193,data\windows\C4_193.npy,normal,1
C4,194,data\windows\C4_194.npy,normal,1
C4,195,data\windows\C4_195.npy,normal,1
C4,196,data\windows\C4_196.npy,normal,1
C4,197,data\windows\C4_197.npy,normal,1
C4,198,data\windows\C4_198.npy,normal,1
C4,199,data\windows\C4_199.npy,normal,1
C4,200,data\windows\C4_200.npy,normal,1
C4,201,data\windows\C4_201.npy,normal,1
C4,202,data\windows\C4_202.npy,normal,1
C4,203,data\windows\C4_203.npy,normal,1
C4,204,data\windows\C4_204.npy,normal,1
C4,205,data\windows\C4_205.npy,normal,1
C4,206,data\windows\C4_206.npy,normal,1
C4,207,data\windows\C4_207.npy,normal,1
C4,208,data\windows\C4_208.npy,normal,1
C4,209,data\windows\C4_209.npy,normal,1
C4,210,data\windows\C4_210.npy,normal,1
C4,211,data\windows\C4_211.npy,severe,2
C4,212,data\windows\C4_212.npy,severe,2
C4,213,data\windows\C4_213.npy,severe,2
C4,214,data\windows\C4_214.npy,severe,2
C4,215,data\windows\C4_215.npy,severe,2
C4,216,data\windows\C4_216.npy,severe,2
C4,217,data\windows\C4_217.npy,severe,2
C4,218,data\windows\C4_218.npy,severe,2
C4,219,data\windows\C4_219.npy,severe,2
C4,220,data\windows\C4_220.npy,severe,2
C4,221,data\windows\C4_221.npy,severe,2
C4,222,data\windows\C4_222.npy,severe,2
C4,223,data\windows\C4_223.npy,severe,2
C4,224,data\windows\C4_224.npy,severe,2
C4,225,data\windows\C4_225.npy,severe,2
C4,226,data\windows\C4_226.npy,severe,2
C4,227,data\windows\C4_227.npy,severe,2
C4,228,data\windows\C4_228.npy,severe,2
C4,229,data\windows\C4_229.npy,severe,2
C4,230,data\windows\C4_230.npy,severe,2
C4,231,data\windows\C4_231.npy,severe,2
C4,232,data\windows\C4_232.npy,severe,2
C4,233,data\windows\C4_233.npy,severe,2
C4,234,data\windows\C4_234.npy,severe,2
C4,235,data\windows\C4_235.npy,severe,2
C4,236,data\windows\C4_236.npy,severe,2
C4,237,data\windows\C4_237.npy,severe,2
C4,238,data\windows\C4_238.npy,severe,2
C4,239,data\windows\C4_239.npy,severe,2
C4,240,data\windows\C4_240.npy,severe,2
C4,241,data\windows\C4_241.npy,severe,2
C4,242,data\windows\C4_242.npy,severe,2
C4,243,data\windows\C4_243.npy,severe,2
C4,244,data\windows\C4_244.npy,severe,2
C4,245,data\windows\C4_245.npy,severe,2
C4,246,data\windows\C4_246.npy,severe,2
C4,247,data\windows\C4_247.npy,severe,2
C4,248,data\windows\C4_248.npy,severe,2
C4,249,data\windows\C4_249.npy,severe,2
C4,250,data\windows\C4_250.npy,severe,2
C4,251,data\windows\C4_251.npy,severe,2
C4,252,data\windows\C4_252.npy,severe,2
C4,253,data\windows\C4_253.npy,severe,2
C4,254,data\windows\C4_254.npy,severe,2
C4,255,data\windows\C4_255.npy,severe,2
C4,256,data\windows\C4_256.npy,severe,2
C4,257,data\windows\C4_257.npy,severe,2
C4,258,data\windows\C4_258.npy,severe,2
C4,259,data\windows\C4_259.npy,severe,2
C4,260,data\windows\C4_260.npy,severe,2
C4,261,data\windows\C4_261.npy,severe,2
C4,262,data\windows\C4_262.npy,severe,2
C4,263,data\windows\C4_263.npy,severe,2
C4,264,data\windows\C4_264.npy,severe,2
C4,265,data\windows\C4_265.npy,severe,2
C4,266,data\windows\C4_266.npy,severe,2
C4,267,data\windows\C4_267.npy,severe,2
C4,268,data\windows\C4_268.npy,severe,2
C4,269,data\windows\C4_269.npy,severe,2
C4,270,data\windows\C4_270.npy,severe,2
C4,271,data\windows\C4_271.npy,severe,2
C4,272,data\windows\C4_272.npy,severe,2
C4,273,data\windows\C4_273.npy,severe,2
C4,274,data\windows\C4_274.npy,severe,2
C4,275,data\windows\C4_275.npy,severe,2
C4,276,data\windows\C4_276.npy,severe,2
C4,277,data\windows\C4_277.npy,severe,2
C4,278,data\windows\C4_278.npy,severe,2
C4,279,data\windows\C4_279.npy,severe,2
C4,280,data\windows\C4_280.npy,severe,2
C4,281,data\windows\C4_281.npy,severe,2
C4,282,data\windows\C4_282.npy,severe,2
C4,283,data\windows\C4_283.npy,severe,2
C4,284,data\windows\C4_284.npy,severe,2
C4,285,data\windows\C4_285.npy,severe,2
C4,286,data\windows\C4_286.npy,severe,2
C4,287,data\windows\C4_287.npy,severe,2
C4,288,data\windows\C4_288.npy,severe,2
C4,289,data\windows\C4_289.npy,severe,2
C4,290,data\windows\C4_290.npy,severe,2
C4,291,data\windows\C4_291.npy,severe,2
