condition,run_id,stage,split
C6,289,late,test
C6,290,late,test
C6,291,late,test
C6,292,late,test
C6,293,late,test
C6,294,late,test
C6,295,late,test
C6,296,late,test
C6,297,late,test
C6,298,late,test
C6,299,late,test
C6,300,late,test
C6,301,late,test
C6,302,late,test
C6,303,late,test
C6,304,late,test
C6,305,late,test
C6,306,late,test
C6,307,late,test
C6,308,late,test
C6,309,late,test
C6,310,late,test
C6,311,late,test
C6,312,late,test
C6,313,late,test
C6,314,late,test
C6,315,late,test
C1,1,early,train
C1,2,early,train
C1,3,early,train
C1,4,early,train
C1,5,early,train
C1,6,early,train
C1,7,early,train
C1,8,early,train
C1,9,early,train
C1,10,early,train
C1,11,early,train
C1,12,early,train
C1,13,early,train
C1,14,early,train
C1,15,early,train
C1,16,early,train
C1,17,early,train
C1,18,early,train
C1,19,early,train
C1,20,early,train
C1,21,early,train
C1,22,early,train
C1,23,early,train
C1,24,early,train
C1,25,early,train
C1,26,early,train
C1,27,early,train
C1,28,early,train
C1,29,early,train
C1,30,early,train
C1,31,early,train
C1,32,early,train
C1,33,early,train
C1,34,early,train
C1,35,early,train
C1,36,early,train
C1,37,early,train
C1,38,early,train
C1,39,early,train
C1,40,early,train
C1,41,early,train
C1,42,early,train
C1,43,early,train
C1,44,early,train
C1,45,early,train
C1,46,early,train
C1,70,early,train
C1,71,early,train
C1,72,early,train
C1,73,early,train
C1,74,early,train
C1,75,early,train
C1,76,early,train
C1,77,early,train
C1,78,early,train
C1,79,early,train
C1,80,early,train
C1,81,early,train
C1,82,early,train
C1,83,early,train
C1,84,early,train
C1,85,early,train
C1,86,early,train
C1,87,early,train
C1,88,early,train
C1,89,early,train
C1,90,early,train
C1,91,early,train
C1,92,early,train
C1,93,early,train
C1,94,early,train
C1,95,early,train
C1,96,early,train
C1,97,early,train
C1,98,early,train
C1,99,early,train
C1,100,early,train
C1,101,early,train
C1,102,early,train
C1,103,early,train
C1,104,early,train
C1,105,early,train
C1,106,early,train
C1,107,early,train
C1,108,early,train
C1,109,early,train
C1,110,early,train
C1,111,early,train
C1,112,early,train
C1,113,early,train
C1,114,early,train
C1,115,early,train
C1,116,early,train
C1,117,middle,train
C1,118,middle,train
C1,119,middle,train
C1,120,middle,train
C1,121,middle,train
C1,122,middle,train
C1,123,middle,train
C1,124,middle,train
C1,125,middle,train
C1,126,middle,train
C1,127,middle,train
C1,128,middle,train
C1,129,middle,train
C1,130,middle,train
C1,131,middle,train
C1,132,middle,train
C1,133,middle,train
C1,134,middle,train
C1,135,middle,train
C1,136,middle,train
C1,137,middle,train
C1,138,middle,train
C1,139,middle,train
C1,140,middle,train
C1,141,middle,train
C1,142,middle,train
C1,143,middle,train
C1,144,middle,train
C1,145,middle,train
C1,146,middle,train
C1,147,middle,train
C1,148,middle,train
C1,149,middle,train
C1,150,middle,train
C1,151,middle,train
C1,152,middle,train
C1,153,middle,train
C1,154,middle,train
C1,155,middle,train
C1,156,middle,train
C1,157,middle,train
C1,158,middle,train
C1,159,middle,train
C1,160,middle,train
C1,183,middle,train
C1,184,middle,train
C1,185,middle,train
C1,186,middle,train
C1,187,middle,train
C1,188,middle,train
C1,189,middle,train
C1,190,middle,train
C1,191,middle,train
C1,192,middle,train
C1,193,middle,train
C1,194,middle,train
C1,195,middle,train
C1,196,middle,train
C1,197,middle,train
C1,198,middle,train
C1,199,middle,train
C1,200,middle,train
C1,201,middle,train
C1,202,middle,train
C1,203,middle,train
C1,204,middle,train
C1,205,middle,train
C1,206,middle,train
C1,207,middle,train
C1,208,middle,train
C1,209,middle,train
C1,210,middle,train
C1,211,middle,train
C1,212,middle,train
C1,213,middle,train
C1,214,middle,train
C1,215,middle,train
C1,216,middle,train
C1,217,middle,train
C1,218,middle,train
C1,219,middle,train
C1,220,middle,train
C1,221,middle,train
C1,222,middle,train
C1,223,middle,train
C1,224,middle,train
C1,225,middle,train
C1,226,middle,train
C1,227,middle,train
C1,228,late,train
C1,229,late,train
C1,230,late,train
C1,231,late,train
C1,232,late,train
C1,233,late,train
C1,234,late,train
C1,235,late,train
C1,236,late,train
C1,237,late,train
C1,238,late,train
C1,239,late,train
C1,240,late,train
C1,241,late,train
C1,242,late,train
C1,243,late,train
C1,244,late,train
C1,245,late,train
C1,246,late,train
C1,247,late,train
C1,248,late,train
C1,249,late,train
C1,250,late,train
C1,251,late,train
C1,252,late,train
C1,253,late,train
C1,254,late,train
C1,255,late,train
C1,256,late,train
C1,257,late,train
C1,258,late,train
C1,259,late,train
C1,260,late,train
C1,261,late,train
C1,262,late,train
C1,281,late,train
C1,282,late,train
C1,283,late,train
C1,284,late,train
C1,285,late,train
C1,286,late,train
C1,287,late,train
C1,288,late,train
C1,289,late,train
C1,290,late,train
C1,291,late,train
C1,292,late,train
C1,293,late,train
C1,294,late,train
C1,295,late,train
C1,296,late,train
C1,297,late,train
C1,298,late,train
C1,299,late,train
C1,300,late,train
C1,301,late,train
C1,302,late,train
C1,303,late,train
C1,304,late,train
C1,305,late,train
C1,306,late,train
C1,307,late,train
C1,308,late,train
C1,309,late,train
C1,310,late,train
C1,311,late,train
C1,312,late,train
C1,313,late,train
C1,314,late,train
C1,315,late,train
C4,1,early,train
C4,2,early,train
C4,3,early,train
C4,4,early,train
C4,5,early,train
C4,6,early,train
C4,7,early,train
C4,8,early,train
C4,9,early,train
C4,10,early,train
C4,11,early,train
C4,12,early,train
C4,13,early,train
C4,14,early,train
C4,15,early,train
C4,16,early,train
C4,17,early,train
C4,18,early,train
C4,19,early,train
C4,20,early,train
C4,21,early,train
C4,22,early,train
C4,23,early,train
C4,24,early,train
C4,25,early,train
C4,26,early,train
C4,27,early,train
C4,28,early,train
C4,29,early,train
C4,30,early,train
C4,31,early,train
C4,32,early,train
C4,33,early,train
C4,34,early,train
C4,35,early,train
C4,36,early,train
C4,37,early,train
C4,38,early,train
C4,58,early,train
C4,59,early,train
C4,60,early,train
C4,61,early,train
C4,62,early,train
C4,63,early,train
C4,64,early,train
C4,65,early,train
C4,66,early,train
C4,67,early,train
C4,68,early,train
C4,69,early,train
C4,70,early,train
C4,71,early,train
C4,72,early,train
C4,73,early,train
C4,74,early,train
C4,75,early,train
C4,76,early,train
C4,77,early,train
C4,78,early,train
C4,79,early,train
C4,80,early,train
C4,81,early,train
C4,82,early,train
C4,83,early,train
C4,84,early,train
C4,85,early,train
C4,86,early,train
C4,87,early,train
C4,88,early,train
C4,89,early,train
C4,90,early,train
C4,91,early,train
C4,92,early,train
C4,93,early,train
C4,94,early,train
C4,95,early,train
C4,96,middle,train
C4,97,middle,train
C4,98,middle,train
C4,99,middle,train
C4,100,middle,train
C4,101,middle,train
C4,102,middle,train
C4,103,middle,train
C4,104,middle,train
C4,105,middle,train
C4,106,middle,train
C4,107,middle,train
C4,108,middle,train
C4,109,middle,train
C4,110,middle,train
C4,111,middle,train
C4,112,middle,train
C4,113,middle,train
C4,114,middle,train
C4,115,middle,train
C4,116,middle,train
C4,117,middle,train
C4,118,middle,train
C4,119,middle,train
C4,120,middle,train
C4,121,middle,train
C4,122,middle,train
C4,123,middle,train
C4,124,middle,train
C4,125,middle,train
C4,126,middle,train
C4,127,middle,train
C4,128,middle,train
C4,129,middle,train
C4,130,middle,train
C4,131,middle,train
C4,132,middle,train
C4,133,middle,train
C4,134,middle,train
C4,135,middle,train
C4,136,middle,train
C4,137,middle,train
C4,138,middle,train
C4,139,middle,train
C4,140,middle,train
C4,141,middle,train
C4,142,middle,train
C4,143,middle,train
C4,144,middle,train
C4,145,middle,train
C4,146,middle,train
C4,147,middle,train
C4,148,middle,train
C4,175,middle,train
C4,176,middle,train
C4,177,middle,train
C4,178,middle,train
C4,179,middle,train
C4,180,middle,train
C4,181,middle,train
C4,182,middle,train
C4,183,middle,train
C4,184,middle,train
C4,185,middle,train
C4,186,middle,train
C4,187,middle,train
C4,188,middle,train
C4,189,middle,train
C4,190,middle,train
C4,191,middle,train
C4,192,middle,train
C4,193,middle,train
C4,194,middle,train
C4,195,middle,train
C4,196,middle,train
C4,197,middle,train
C4,198,middle,train
C4,199,middle,train
C4,200,middle,train
C4,201,middle,train
C4,202,middle,train
C4,203,middle,train
C4,204,middle,train
C4,205,middle,train
C4,206,middle,train
C4,207,middle,train
C4,208,middle,train
C4,209,middle,train
C4,210,middle,train
C4,211,middle,train
C4,212,middle,train
C4,213,middle,train
C4,214,middle,train
C4,215,middle,train
C4,216,middle,train
C4,217,middle,train
C4,218,middle,train
C4,219,middle,train
C4,220,middle,train
C4,221,middle,train
C4,222,middle,train
C4,223,middle,train
C4,224,middle,train
C4,225,middle,train
C4,226,middle,train
C4,227,middle,train
C4,228,late,train
C4,229,late,train
C4,230,late,train
C4,231,late,train
C4,232,late,train
C4,233,late,train
C4,234,late,train
C4,235,late,train
C4,236,late,train
C4,237,late,train
C4,238,late,train
C4,239,late,train
C4,240,late,train
C4,241,late,train
C4,242,late,train
C4,243,late,train
C4,244,late,train
C4,245,late,train
C4,246,late,train
C4,247,late,train
C4,248,late,train
C4,249,late,train
C4,250,late,train
C4,251,late,train
C4,252,late,train
C4,253,late,train
C4,254,late,train
C4,255,late,train
C4,256,late,train
C4,257,late,train
C4,258,late,train
C4,259,late,train
C4,260,late,train
C4,261,late,train
C4,262,late,train
C4,281,late,train
C4,282,late,train
C4,283,late,train
C4,284,late,train
C4,285,late,train
C4,286,late,train
C4,287,late,train
C4,288,late,train
C4,289,late,train
C4,290,late,train
C4,291,late,train
C4,292,late,train
C4,293,late,train
C4,294,late,train
C4,295,late,train
C4,296,late,train
C4,297,late,train
C4,298,late,train
C4,299,late,train
C4,300,late,train
C4,301,late,train
C4,302,late,train
C4,303,late,train
C4,304,late,train
C4,305,late,train
C4,306,late,train
C4,307,late,train
C4,308,late,train
C4,309,late,train
C4,310,late,train
C4,311,late,train
C4,312,late,train
C4,313,late,train
C4,314,late,train
C4,315,late,train
C1,47,early,val
C1,48,early,val
C1,49,early,val
C1,50,early,val
C1,51,early,val
C1,52,early,val
C1,53,early,val
C1,54,early,val
C1,55,early,val
C1,56,early,val
C1,57,early,val
C1,58,early,val
C1,59,early,val
C1,60,early,val
C1,61,early,val
C1,62,early,val
C1,63,early,val
C1,64,early,val
C1,65,early,val
C1,66,early,val
C1,67,early,val
C1,68,early,val
C1,69,early,val
C1,161,middle,val
C1,162,middle,val
C1,163,middle,val
C1,164,middle,val
C1,165,middle,val
C1,166,middle,val
C1,167,middle,val
C1,168,middle,val
C1,169,middle,val
C1,170,middle,val
C1,171,middle,val
C1,172,middle,val
C1,173,middle,val
C1,174,middle,val
C1,175,middle,val
C1,176,middle,val
C1,177,middle,val
C1,178,middle,val
C1,179,middle,val
C1,180,middle,val
C1,181,middle,val
C1,182,middle,val
C1,263,late,val
C1,264,late,val
C1,265,late,val
C1,266,late,val
C1,267,late,val
C1,268,late,val
C1,269,late,val
C1,270,late,val
C1,271,late,val
C1,272,late,val
C1,273,late,val
C1,274,late,val
C1,275,late,val
C1,276,late,val
C1,277,late,val
C1,278,late,val
C1,279,late,val
C1,280,late,val
C4,39,early,val
C4,40,early,val
C4,41,early,val
C4,42,early,val
C4,43,early,val
C4,44,early,val
C4,45,early,val
C4,46,early,val
C4,47,early,val
C4,48,early,val
C4,49,early,val
C4,50,early,val
C4,51,early,val
C4,52,early,val
C4,53,early,val
C4,54,early,val
C4,55,early,val
C4,56,early,val
C4,57,early,val
C4,149,middle,val
C4,150,middle,val
C4,151,middle,val
C4,152,middle,val
C4,153,middle,val
C4,154,middle,val
C4,155,middle,val
C4,156,middle,val
C4,157,middle,val
C4,158,middle,val
C4,159,middle,val
C4,160,middle,val
C4,161,middle,val
C4,162,middle,val
C4,163,middle,val
C4,164,middle,val
C4,165,middle,val
C4,166,middle,val
C4,167,middle,val
C4,168,middle,val
C4,169,middle,val
C4,170,middle,val
C4,171,middle,val
C4,172,middle,val
C4,173,middle,val
C4,174,middle,val
C4,263,late,val
C4,264,late,val
C4,265,late,val
C4,266,late,val
C4,267,late,val
C4,268,late,val
C4,269,late,val
C4,270,late,val
C4,271,late,val
C4,272,late,val
C4,273,late,val
C4,274,late,val
C4,275,late,val
C4,276,late,val
C4,277,late,val
C4,278,late,val
C4,279,late,val
C4,280,late,val
