condition,run_id,subwindow,stage_original,stage_original_id,VB,stage_unified,stage_unified_id
C1,11,2,initial,0,71.74246752,early,0
C1,11,3,initial,0,71.74246752,early,0
C1,11,4,initial,0,71.74246752,early,0
C1,12,0,initial,0,74.01887416,early,0
C1,12,1,initial,0,74.01887416,early,0
C1,12,2,initial,0,74.01887416,early,0
C1,12,3,initial,0,74.01887416,early,0
C1,12,4,initial,0,74.01887416,early,0
C1,13,0,initial,0,76.06162381,early,0
C1,13,1,initial,0,76.06162381,early,0
C1,13,2,initial,0,76.06162381,early,0
C1,13,3,initial,0,76.06162381,early,0
C1,13,4,initial,0,76.06162381,early,0
C1,14,0,initial,0,77.88567991,early,0
C1,14,1,initial,0,77.88567991,early,0
C1,14,2,initial,0,77.88567991,early,0
C1,14,3,initial,0,77.88567991,early,0
C1,14,4,initial,0,77.88567991,early,0
C1,15,0,initial,0,79.50534445,early,0
C1,15,1,initial,0,79.50534445,early,0
C1,15,2,initial,0,79.50534445,early,0
C1,15,3,initial,0,79.50534445,early,0
C1,15,4,initial,0,79.50534445,early,0
C1,16,0,initial,0,80.93427925,early,0
C1,16,1,initial,0,80.93427925,early,0
C1,16,2,initial,0,80.93427925,early,0
C1,16,3,initial,0,80.93427925,early,0
C1,16,4,initial,0,80.93427925,early,0
C1,17,0,initial,0,82.18552678,early,0
C1,17,1,initial,0,82.18552678,early,0
C1,17,2,initial,0,82.18552678,early,0
C1,17,3,initial,0,82.18552678,early,0
C1,17,4,initial,0,82.18552678,early,0
C1,18,0,initial,0,83.27153045,early,0
C1,18,1,initial,0,83.27153045,early,0
C1,18,2,initial,0,83.27153045,early,0
C1,18,3,initial,0,83.27153045,early,0
C1,18,4,initial,0,83.27153045,early,0
C1,19,0,initial,0,84.20415441,early,0
C1,19,1,initial,0,84.20415441,early,0
C1,19,2,initial,0,84.20415441,early,0
C1,19,3,initial,0,84.20415441,early,0
C1,19,4,initial,0,84.20415441,early,0
C1,20,0,initial,0,84.99470288,early,0
C1,20,1,initial,0,84.99470288,early,0
C1,20,2,initial,0,84.99470288,early,0
C1,20,3,initial,0,84.99470288,early,0
C1,20,4,initial,0,84.99470288,early,0
C1,21,0,initial,0,85.653939,early,0
C1,21,1,initial,0,85.653939,early,0
C1,21,2,initial,0,85.653939,early,0
C1,21,3,initial,0,85.653939,early,0
C1,21,4,initial,0,85.653939,early,0
C1,22,0,initial,0,86.19210327,early,0
C1,22,1,initial,0,86.19210327,early,0
C1,22,2,initial,0,86.19210327,early,0
C1,22,3,initial,0,86.19210327,early,0
C1,22,4,initial,0,86.19210327,early,0
C1,23,0,initial,0,86.61893145,early,0
C1,23,1,initial,0,86.61893145,early,0
C1,23,2,initial,0,86.61893145,early,0
C1,23,3,initial,0,86.61893145,early,0
C1,23,4,initial,0,86.61893145,early,0
C1,24,0,initial,0,86.94367205,early,0
C1,24,1,initial,0,86.94367205,early,0
C1,24,2,initial,0,86.94367205,early,0
C1,24,3,initial,0,86.94367205,early,0
C1,24,4,initial,0,86.94367205,early,0
C1,25,0,initial,0,87.17510345,early,0
C1,25,1,initial,0,87.17510345,early,0
C1,25,2,initial,0,87.17510345,early,0
C1,25,3,initial,0,87.17510345,early,0
C1,25,4,initial,0,87.17510345,early,0
C1,26,0,initial,0,87.32155046,early,0
C1,26,1,initial,0,87.32155046,early,0
C1,26,2,initial,0,87.32155046,early,0
C1,26,3,initial,0,87.32155046,early,0
C1,26,4,initial,0,87.32155046,early,0
C1,27,0,initial,0,87.39090058,early,0
C1,27,1,initial,0,87.39090058,early,0
C1,27,2,initial,0,87.39090058,early,0
C1,27,3,initial,0,87.39090058,early,0
C1,27,4,initial,0,87.39090058,early,0
C1,28,0,initial,0,87.39090058,early,0
C1,28,1,initial,0,87.39090058,early,0
C1,28,2,initial,0,87.39090058,early,0
C1,28,3,initial,0,87.39090058,early,0
C1,28,4,initial,0,87.39090058,early,0
C1,29,0,initial,0,87.39090058,early,0
C1,29,1,initial,0,87.39090058,early,0
C1,29,2,initial,0,87.39090058,early,0
C1,29,3,initial,0,87.39090058,early,0
C1,29,4,initial,0,87.39090058,early,0
C1,30,0,initial,0,87.39090058,early,0
C1,30,1,initial,0,87.39090058,early,0
C1,30,2,initial,0,87.39090058,early,0
C1,30,3,initial,0,87.39090058,early,0
C1,30,4,initial,0,87.39090058,early,0
C1,31,0,initial,0,87.39090058,early,0
C1,31,1,initial,0,87.39090058,early,0
C1,31,2,initial,0,87.39090058,early,0
C1,31,3,initial,0,87.39090058,early,0
C1,31,4,initial,0,87.39090058,early,0
C1,32,0,initial,0,87.39090058,early,0
C1,32,1,initial,0,87.39090058,early,0
C1,32,2,initial,0,87.39090058,early,0
C1,32,3,initial,0,87.39090058,early,0
C1,32,4,initial,0,87.39090058,early,0
C1,33,0,initial,0,87.39090058,early,0
C1,33,1,initial,0,87.39090058,early,0
C1,33,2,initial,0,87.39090058,early,0
C1,33,3,initial,0,87.39090058,early,0
C1,33,4,initial,0,87.39090058,early,0
C1,34,0,initial,0,87.39090058,early,0
C1,34,1,initial,0,87.39090058,early,0
C1,34,2,initial,0,87.39090058,early,0
C1,34,3,initial,0,87.39090058,early,0
C1,34,4,initial,0,87.39090058,early,0
C1,35,0,initial,0,87.39090058,early,0
C1,35,1,initial,0,87.39090058,early,0
C1,35,2,initial,0,87.39090058,early,0
C1,35,3,initial,0,87.39090058,early,0
C1,35,4,initial,0,87.39090058,early,0
C1,36,0,initial,0,87.39090058,early,0
C1,36,1,initial,0,87.39090058,early,0
C1,36,2,initial,0,87.39090058,early,0
C1,36,3,initial,0,87.39090058,early,0
C1,36,4,initial,0,87.39090058,early,0
C1,37,0,initial,0,87.39090058,early,0
C1,37,1,initial,0,87.39090058,early,0
C1,37,2,initial,0,87.39090058,early,0
C1,37,3,initial,0,87.39090058,early,0
C1,37,4,initial,0,87.39090058,early,0
C1,38,0,initial,0,87.39090058,early,0
C1,38,1,initial,0,87.39090058,early,0
C1,38,2,initial,0,87.39090058,early,0
C1,38,3,initial,0,87.39090058,early,0
C1,38,4,initial,0,87.39090058,early,0
C1,39,0,initial,0,87.39090058,early,0
C1,39,1,initial,0,87.39090058,early,0
C1,39,2,initial,0,87.39090058,early,0
C1,39,3,initial,0,87.39090058,early,0
C1,39,4,initial,0,87.39090058,early,0
C1,40,0,initial,0,87.39090058,early,0
C1,40,1,initial,0,87.39090058,early,0
C1,40,2,initial,0,87.39090058,early,0
C1,40,3,initial,0,87.39090058,early,0
C1,40,4,initial,0,87.39090058,early,0
C1,41,0,initial,0,87.39090058,early,0
C1,41,1,initial,0,87.39090058,early,0
C1,41,2,initial,0,87.39090058,early,0
C1,41,3,initial,0,87.39090058,early,0
C1,41,4,initial,0,87.39090058,early,0
C1,42,0,initial,0,87.39090058,early,0
C1,42,1,initial,0,87.39090058,early,0
C1,42,2,initial,0,87.39090058,early,0
C1,42,3,initial,0,87.39090058,early,0
C1,42,4,initial,0,87.39090058,early,0
C1,43,0,initial,0,87.39090058,early,0
C1,43,1,initial,0,87.39090058,early,0
C1,43,2,initial,0,87.39090058,early,0
C1,43,3,initial,0,87.39090058,early,0
C1,43,4,initial,0,87.39090058,early,0
C1,44,0,initial,0,87.39090058,early,0
C1,44,1,initial,0,87.39090058,early,0
C1,44,2,initial,0,87.39090058,early,0
C1,44,3,initial,0,87.39090058,early,0
C1,44,4,initial,0,87.39090058,early,0
C1,45,0,initial,0,87.39554943,early,0
C1,45,1,initial,0,87.39554943,early,0
C1,45,2,initial,0,87.39554943,early,0
C1,45,3,initial,0,87.39554943,early,0
C1,45,4,initial,0,87.39554943,early,0
C1,46,0,initial,0,87.92458016,early,0
C1,46,1,initial,0,87.92458016,early,0
C1,46,2,initial,0,87.92458016,early,0
C1,46,3,initial,0,87.92458016,early,0
C1,46,4,initial,0,87.92458016,early,0
C1,47,0,initial,0,88.42988794,early,0
C1,47,1,initial,0,88.42988794,early,0
C1,47,2,initial,0,88.42988794,early,0
C1,47,3,initial,0,88.42988794,early,0
C1,47,4,initial,0,88.42988794,early,0
C1,48,0,initial,0,88.91169574,early,0
C1,48,1,initial,0,88.91169574,early,0
C1,48,2,initial,0,88.91169574,early,0
C1,48,3,initial,0,88.91169574,early,0
C1,48,4,initial,0,88.91169574,early,0
C1,49,0,initial,0,89.37026282,early,0
C1,49,1,initial,0,89.37026282,early,0
C1,49,2,initial,0,89.37026282,early,0
C1,49,3,initial,0,89.37026282,early,0
C1,49,4,initial,0,89.37026282,early,0
C1,50,0,initial,0,89.80588243,early,0
C1,50,1,initial,0,89.80588243,early,0
C1,50,2,initial,0,89.80588243,early,0
C1,50,3,initial,0,89.80588243,early,0
C1,50,4,initial,0,89.80588243,early,0
C1,51,0,normal,1,90.21887955,early,0
C1,51,1,normal,1,90.21887955,early,0
C1,51,2,normal,1,90.21887955,early,0
C1,51,3,normal,1,90.21887955,early,0
C1,51,4,normal,1,90.21887955,early,0
C1,52,0,normal,1,90.60960878,early,0
C1,52,1,normal,1,90.60960878,early,0
C1,52,2,normal,1,90.60960878,early,0
C1,52,3,normal,1,90.60960878,early,0
C1,52,4,normal,1,90.60960878,early,0
C1,53,0,normal,1,90.97845225,early,0
C1,53,1,normal,1,90.97845225,early,0
C1,53,2,normal,1,90.97845225,early,0
C1,53,3,normal,1,90.97845225,early,0
C1,53,4,normal,1,90.97845225,early,0
C1,54,0,normal,1,91.32581757,early,0
C1,54,1,normal,1,91.32581757,early,0
C1,54,2,normal,1,91.32581757,early,0
C1,54,3,normal,1,91.32581757,early,0
C1,54,4,normal,1,91.32581757,early,0
C1,55,0,normal,1,91.65213593,early,0
C1,55,1,normal,1,91.65213593,early,0
C1,55,2,normal,1,91.65213593,early,0
C1,55,3,normal,1,91.65213593,early,0
C1,55,4,normal,1,91.65213593,early,0
C1,56,0,normal,1,91.95786023,early,0
C1,56,1,normal,1,91.95786023,early,0
C1,56,2,normal,1,91.95786023,early,0
C1,56,3,normal,1,91.95786023,early,0
C1,56,4,normal,1,91.95786023,early,0
C1,57,0,normal,1,92.24346325,early,0
C1,57,1,normal,1,92.24346325,early,0
C1,57,2,normal,1,92.24346325,early,0
C1,57,3,normal,1,92.24346325,early,0
C1,57,4,normal,1,92.24346325,early,0
C1,58,0,normal,1,92.50943591,early,0
C1,58,1,normal,1,92.50943591,early,0
C1,58,2,normal,1,92.50943591,early,0
C1,58,3,normal,1,92.50943591,early,0
C1,58,4,normal,1,92.50943591,early,0
C1,59,0,normal,1,92.7562856,early,0
C1,59,1,normal,1,92.7562856,early,0
C1,59,2,normal,1,92.7562856,early,0
C1,59,3,normal,1,92.7562856,early,0
C1,59,4,normal,1,92.7562856,early,0
C1,60,0,normal,1,92.98453457,early,0
C1,60,1,normal,1,92.98453457,early,0
C1,60,2,normal,1,92.98453457,early,0
C1,60,3,normal,1,92.98453457,early,0
C1,60,4,normal,1,92.98453457,early,0
C1,61,0,normal,1,93.19471836,early,0
C1,61,1,normal,1,93.19471836,early,0
C1,61,2,normal,1,93.19471836,early,0
C1,61,3,normal,1,93.19471836,early,0
C1,61,4,normal,1,93.19471836,early,0
C1,62,0,normal,1,93.38738431,early,0
C1,62,1,normal,1,93.38738431,early,0
C1,62,2,normal,1,93.38738431,early,0
C1,62,3,normal,1,93.38738431,early,0
C1,62,4,normal,1,93.38738431,early,0
C1,63,0,normal,1,93.56309014,early,0
C1,63,1,normal,1,93.56309014,early,0
C1,63,2,normal,1,93.56309014,early,0
C1,63,3,normal,1,93.56309014,early,0
C1,63,4,normal,1,93.56309014,early,0
C1,64,0,normal,1,93.72240252,early,0
C1,64,1,normal,1,93.72240252,early,0
C1,64,2,normal,1,93.72240252,early,0
C1,64,3,normal,1,93.72240252,early,0
C1,64,4,normal,1,93.72240252,early,0
C1,65,0,normal,1,93.86589581,early,0
C1,65,1,normal,1,93.86589581,early,0
C1,65,2,normal,1,93.86589581,early,0
C1,65,3,normal,1,93.86589581,early,0
C1,65,4,normal,1,93.86589581,early,0
C1,66,0,normal,1,93.99415074,early,0
C1,66,1,normal,1,93.99415074,early,0
C1,66,2,normal,1,93.99415074,early,0
C1,66,3,normal,1,93.99415074,early,0
C1,66,4,normal,1,93.99415074,early,0
C1,67,0,normal,1,94.10775318,early,0
C1,67,1,normal,1,94.10775318,early,0
C1,67,2,normal,1,94.10775318,early,0
C1,67,3,normal,1,94.10775318,early,0
C1,67,4,normal,1,94.10775318,early,0
C1,68,0,normal,1,94.20729304,early,0
C1,68,1,normal,1,94.20729304,early,0
C1,68,2,normal,1,94.20729304,early,0
C1,68,3,normal,1,94.20729304,early,0
C1,68,4,normal,1,94.20729304,early,0
C1,69,0,normal,1,94.29336308,early,0
C1,69,1,normal,1,94.29336308,early,0
C1,69,2,normal,1,94.29336308,early,0
C1,69,3,normal,1,94.29336308,early,0
C1,69,4,normal,1,94.29336308,early,0
C1,70,0,normal,1,94.36655788,early,0
C1,70,1,normal,1,94.36655788,early,0
C1,70,2,normal,1,94.36655788,early,0
C1,70,3,normal,1,94.36655788,early,0
C1,70,4,normal,1,94.36655788,early,0
C1,71,0,normal,1,94.42747281,early,0
C1,71,1,normal,1,94.42747281,early,0
C1,71,2,normal,1,94.42747281,early,0
C1,71,3,normal,1,94.42747281,early,0
C1,71,4,normal,1,94.42747281,early,0
C1,72,0,normal,1,94.47670304,early,0
C1,72,1,normal,1,94.47670304,early,0
C1,72,2,normal,1,94.47670304,early,0
C1,72,3,normal,1,94.47670304,early,0
C1,72,4,normal,1,94.47670304,early,0
C1,73,0,normal,1,94.51484266,early,0
C1,73,1,normal,1,94.51484266,early,0
C1,73,2,normal,1,94.51484266,early,0
C1,73,3,normal,1,94.51484266,early,0
C1,73,4,normal,1,94.51484266,early,0
C1,74,0,normal,1,94.54248373,early,0
C1,74,1,normal,1,94.54248373,early,0
C1,74,2,normal,1,94.54248373,early,0
C1,74,3,normal,1,94.54248373,early,0
C1,74,4,normal,1,94.54248373,early,0
C1,75,0,normal,1,94.5602155,early,0
C1,75,1,normal,1,94.5602155,early,0
C1,75,2,normal,1,94.5602155,early,0
C1,75,3,normal,1,94.5602155,early,0
C1,75,4,normal,1,94.5602155,early,0
C1,76,0,normal,1,94.56862356,early,0
C1,76,1,normal,1,94.56862356,early,0
C1,76,2,normal,1,94.56862356,early,0
C1,76,3,normal,1,94.56862356,early,0
C1,76,4,normal,1,94.56862356,early,0
C1,77,0,normal,1,94.56862356,early,0
C1,77,1,normal,1,94.56862356,early,0
C1,77,2,normal,1,94.56862356,early,0
C1,77,3,normal,1,94.56862356,early,0
C1,77,4,normal,1,94.56862356,early,0
C1,78,0,normal,1,94.56862356,early,0
C1,78,1,normal,1,94.56862356,early,0
C1,78,2,normal,1,94.56862356,early,0
C1,78,3,normal,1,94.56862356,early,0
C1,78,4,normal,1,94.56862356,early,0
C1,79,0,normal,1,94.56862356,early,0
C1,79,1,normal,1,94.56862356,early,0
C1,79,2,normal,1,94.56862356,early,0
C1,79,3,normal,1,94.56862356,early,0
C1,79,4,normal,1,94.56862356,early,0
C1,80,0,normal,1,94.56862356,early,0
C1,80,1,normal,1,94.56862356,early,0
C1,80,2,normal,1,94.56862356,early,0
C1,80,3,normal,1,94.56862356,early,0
C1,80,4,normal,1,94.56862356,early,0
C1,81,0,normal,1,94.56862356,early,0
C1,81,1,normal,1,94.56862356,early,0
C1,81,2,normal,1,94.56862356,early,0
C1,81,3,normal,1,94.56862356,early,0
C1,81,4,normal,1,94.56862356,early,0
C1,82,0,normal,1,94.56862356,early,0
C1,82,1,normal,1,94.56862356,early,0
C1,82,2,normal,1,94.56862356,early,0
C1,82,3,normal,1,94.56862356,early,0
C1,82,4,normal,1,94.56862356,early,0
C1,83,0,normal,1,94.56862356,early,0
C1,83,1,normal,1,94.56862356,early,0
C1,83,2,normal,1,94.56862356,early,0
C1,83,3,normal,1,94.56862356,early,0
C1,83,4,normal,1,94.56862356,early,0
C1,84,0,normal,1,94.56862356,early,0
C1,84,1,normal,1,94.56862356,early,0
C1,84,2,normal,1,94.56862356,early,0
C1,84,3,normal,1,94.56862356,early,0
C1,84,4,normal,1,94.56862356,early,0
C1,85,0,normal,1,94.56862356,early,0
C1,85,1,normal,1,94.56862356,early,0
C1,85,2,normal,1,94.56862356,early,0
C1,85,3,normal,1,94.56862356,early,0
C1,85,4,normal,1,94.56862356,early,0
C1,86,0,normal,1,94.56862356,early,0
C1,86,1,normal,1,94.56862356,early,0
C1,86,2,normal,1,94.56862356,early,0
C1,86,3,normal,1,94.56862356,early,0
C1,86,4,normal,1,94.56862356,early,0
C1,87,0,normal,1,94.56862356,early,0
C1,87,1,normal,1,94.56862356,early,0
C1,87,2,normal,1,94.56862356,early,0
C1,87,3,normal,1,94.56862356,early,0
C1,87,4,normal,1,94.56862356,early,0
C1,88,0,normal,1,94.56862356,early,0
C1,88,1,normal,1,94.56862356,early,0
C1,88,2,normal,1,94.56862356,early,0
C1,88,3,normal,1,94.56862356,early,0
C1,88,4,normal,1,94.56862356,early,0
C1,89,0,normal,1,94.56862356,early,0
C1,89,1,normal,1,94.56862356,early,0
C1,89,2,normal,1,94.56862356,early,0
C1,89,3,normal,1,94.56862356,early,0
C1,89,4,normal,1,94.56862356,early,0
C1,90,0,normal,1,94.56862356,early,0
C1,90,1,normal,1,94.56862356,early,0
C1,90,2,normal,1,94.56862356,early,0
C1,90,3,normal,1,94.56862356,early,0
C1,90,4,normal,1,94.56862356,early,0
C1,91,0,normal,1,94.56862356,early,0
C1,91,1,normal,1,94.56862356,early,0
C1,91,2,normal,1,94.56862356,early,0
C1,91,3,normal,1,94.56862356,early,0
C1,91,4,normal,1,94.56862356,early,0
C1,92,0,normal,1,94.56862356,early,0
C1,92,1,normal,1,94.56862356,early,0
C1,92,2,normal,1,94.56862356,early,0
C1,92,3,normal,1,94.56862356,early,0
C1,92,4,normal,1,94.56862356,early,0
C1,93,0,normal,1,94.56862356,early,0
C1,93,1,normal,1,94.56862356,early,0
C1,93,2,normal,1,94.56862356,early,0
C1,93,3,normal,1,94.56862356,early,0
C1,93,4,normal,1,94.56862356,early,0
C1,94,0,normal,1,94.56862356,early,0
C1,94,1,normal,1,94.56862356,early,0
C1,94,2,normal,1,94.56862356,early,0
C1,94,3,normal,1,94.56862356,early,0
C1,94,4,normal,1,94.56862356,early,0
C1,95,0,normal,1,94.56862356,early,0
C1,95,1,normal,1,94.56862356,early,0
C1,95,2,normal,1,94.56862356,early,0
C1,95,3,normal,1,94.56862356,early,0
C1,95,4,normal,1,94.56862356,early,0
C1,96,0,normal,1,94.56862356,early,0
C1,96,1,normal,1,94.56862356,early,0
C1,96,2,normal,1,94.56862356,early,0
C1,96,3,normal,1,94.56862356,early,0
C1,96,4,normal,1,94.56862356,early,0
C1,97,0,normal,1,94.56862356,early,0
C1,97,1,normal,1,94.56862356,early,0
C1,97,2,normal,1,94.56862356,early,0
C1,97,3,normal,1,94.56862356,early,0
C1,97,4,normal,1,94.56862356,early,0
C1,98,0,normal,1,94.56862356,early,0
C1,98,1,normal,1,94.56862356,early,0
C1,98,2,normal,1,94.56862356,early,0
C1,98,3,normal,1,94.56862356,early,0
C1,98,4,normal,1,94.56862356,early,0
C1,99,0,normal,1,94.56862356,early,0
C1,99,1,normal,1,94.56862356,early,0
C1,99,2,normal,1,94.56862356,early,0
C1,99,3,normal,1,94.56862356,early,0
C1,99,4,normal,1,94.56862356,early,0
C1,100,0,normal,1,94.56862356,early,0
C1,100,1,normal,1,94.56862356,early,0
C1,100,2,normal,1,94.56862356,early,0
C1,100,3,normal,1,94.56862356,early,0
C1,100,4,normal,1,94.56862356,early,0
C1,101,0,normal,1,94.56862356,early,0
C1,101,1,normal,1,94.56862356,early,0
C1,101,2,normal,1,94.56862356,early,0
C1,101,3,normal,1,94.56862356,early,0
C1,101,4,normal,1,94.56862356,early,0
C1,102,0,normal,1,94.56862356,early,0
C1,102,1,normal,1,94.56862356,early,0
C1,102,2,normal,1,94.56862356,early,0
C1,102,3,normal,1,94.56862356,early,0
C1,102,4,normal,1,94.56862356,early,0
C1,103,0,normal,1,94.56862356,early,0
C1,103,1,normal,1,94.56862356,early,0
C1,103,2,normal,1,94.56862356,early,0
C1,103,3,normal,1,94.56862356,early,0
C1,103,4,normal,1,94.56862356,early,0
C1,104,0,normal,1,94.56862356,early,0
C1,104,1,normal,1,94.56862356,early,0
C1,104,2,normal,1,94.56862356,early,0
C1,104,3,normal,1,94.56862356,early,0
C1,104,4,normal,1,94.56862356,early,0
C1,105,0,normal,1,94.56862356,early,0
C1,105,1,normal,1,94.56862356,early,0
C1,105,2,normal,1,94.56862356,early,0
C1,105,3,normal,1,94.56862356,early,0
C1,105,4,normal,1,94.56862356,early,0
C1,106,0,normal,1,94.56862356,early,0
C1,106,1,normal,1,94.56862356,early,0
C1,106,2,normal,1,94.56862356,early,0
C1,106,3,normal,1,94.56862356,early,0
C1,106,4,normal,1,94.56862356,early,0
C1,107,0,normal,1,94.56862356,early,0
C1,107,1,normal,1,94.56862356,early,0
C1,107,2,normal,1,94.56862356,early,0
C1,107,3,normal,1,94.56862356,early,0
C1,107,4,normal,1,94.56862356,early,0
C1,108,0,normal,1,94.56862356,early,0
C1,108,1,normal,1,94.56862356,early,0
C1,108,2,normal,1,94.56862356,early,0
C1,108,3,normal,1,94.56862356,early,0
C1,108,4,normal,1,94.56862356,early,0
C1,109,0,normal,1,94.56862356,early,0
C1,109,1,normal,1,94.56862356,early,0
C1,109,2,normal,1,94.56862356,early,0
C1,109,3,normal,1,94.56862356,early,0
C1,109,4,normal,1,94.56862356,early,0
C1,110,0,normal,1,94.56862356,early,0
C1,110,1,normal,1,94.56862356,early,0
C1,110,2,normal,1,94.56862356,early,0
C1,110,3,normal,1,94.56862356,early,0
C1,110,4,normal,1,94.56862356,early,0
C1,111,0,normal,1,94.56862356,early,0
C1,111,1,normal,1,94.56862356,early,0
C1,111,2,normal,1,94.56862356,early,0
C1,111,3,normal,1,94.56862356,early,0
C1,111,4,normal,1,94.56862356,early,0
C1,112,0,normal,1,94.56862356,early,0
C1,112,1,normal,1,94.56862356,early,0
C1,112,2,normal,1,94.56862356,early,0
C1,112,3,normal,1,94.56862356,early,0
C1,112,4,normal,1,94.56862356,early,0
C1,113,0,normal,1,94.56862356,early,0
C1,113,1,normal,1,94.56862356,early,0
C1,113,2,normal,1,94.56862356,early,0
C1,113,3,normal,1,94.56862356,early,0
C1,113,4,normal,1,94.56862356,early,0
C1,114,0,normal,1,94.56862356,early,0
C1,114,1,normal,1,94.56862356,early,0
C1,114,2,normal,1,94.56862356,early,0
C1,114,3,normal,1,94.56862356,early,0
C1,114,4,normal,1,94.56862356,early,0
C1,115,0,normal,1,94.56862356,early,0
C1,115,1,normal,1,94.56862356,early,0
C1,115,2,normal,1,94.56862356,early,0
C1,115,3,normal,1,94.56862356,early,0
C1,115,4,normal,1,94.56862356,early,0
C1,116,0,normal,1,94.56862356,early,0
C1,116,1,normal,1,94.56862356,early,0
C1,116,2,normal,1,94.56862356,early,0
C1,116,3,normal,1,94.56862356,early,0
C1,116,4,normal,1,94.56862356,early,0
C1,117,0,normal,1,94.56862356,middle,1
C1,117,1,normal,1,94.56862356,middle,1
C1,117,2,normal,1,94.56862356,middle,1
C1,117,3,normal,1,94.56862356,middle,1
C1,117,4,normal,1,94.56862356,middle,1
C1,118,0,normal,1,94.56862356,middle,1
C1,118,1,normal,1,94.56862356,middle,1
C1,118,2,normal,1,94.56862356,middle,1
C1,118,3,normal,1,94.56862356,middle,1
C1,118,4,normal,1,94.56862356,middle,1
C1,119,0,normal,1,94.56862356,middle,1
C1,119,1,normal,1,94.56862356,middle,1
C1,119,2,normal,1,94.56862356,middle,1
C1,119,3,normal,1,94.56862356,middle,1
C1,119,4,normal,1,94.56862356,middle,1
C1,120,0,normal,1,94.58162515,middle,1
C1,120,1,normal,1,94.58162515,middle,1
C1,120,2,normal,1,94.58162515,middle,1
C1,120,3,normal,1,94.58162515,middle,1
C1,120,4,normal,1,94.58162515,middle,1
C1,121,0,normal,1,94.88972237,middle,1
C1,121,1,normal,1,94.88972237,middle,1
C1,121,2,normal,1,94.88972237,middle,1
C1,121,3,normal,1,94.88972237,middle,1
C1,121,4,normal,1,94.88972237,middle,1
C1,122,0,normal,1,95.19110376,middle,1
C1,122,1,normal,1,95.19110376,middle,1
C1,122,2,normal,1,95.19110376,middle,1
C1,122,3,normal,1,95.19110376,middle,1
C1,122,4,normal,1,95.19110376,middle,1
C1,123,0,normal,1,95.48569329,middle,1
C1,123,1,normal,1,95.48569329,middle,1
C1,123,2,normal,1,95.48569329,middle,1
C1,123,3,normal,1,95.48569329,middle,1
C1,123,4,normal,1,95.48569329,middle,1
C1,124,0,normal,1,95.77343457,middle,1
C1,124,1,normal,1,95.77343457,middle,1
C1,124,2,normal,1,95.77343457,middle,1
C1,124,3,normal,1,95.77343457,middle,1
C1,124,4,normal,1,95.77343457,middle,1
C1,125,0,normal,1,96.05429047,middle,1
C1,125,1,normal,1,96.05429047,middle,1
C1,125,2,normal,1,96.05429047,middle,1
C1,125,3,normal,1,96.05429047,middle,1
C1,125,4,normal,1,96.05429047,middle,1
C1,126,0,normal,1,96.32824273,middle,1
C1,126,1,normal,1,96.32824273,middle,1
C1,126,2,normal,1,96.32824273,middle,1
C1,126,3,normal,1,96.32824273,middle,1
C1,126,4,normal,1,96.32824273,middle,1
